description_label,element_type,image_path,bb,bb_x,bb_y,bb_width,bb_height,label_path
the text field that says 'Ohio',textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/c200352a-28d2-436c-8707-aa695e04a397_8e50853d-4ef2-48bd-953d-2014037a4331.jpeg,"[0.0, 0.242706298828125, 0.11127412623891497, 0.35103759765625, 0.029212310902451747]",0.242706298828125,0.1112741262389149,0.35103759765625,0.0292123109024517,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/c200352a-28d2-436c-8707-aa695e04a397_8e50853d-4ef2-48bd-953d-2014037a4331.pickle
the first option in the list that says 'Colorado',link,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/c200352a-28d2-436c-8707-aa695e04a397_e66eee08-1c46-45fa-9204-feaa911b868a.jpeg,"[0.0, 0.211456298828125, 0.15049556598852373, 0.37916259765625, 0.010954616588419406]",0.211456298828125,0.1504955659885237,0.37916259765625,0.0109546165884194,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/c200352a-28d2-436c-8707-aa695e04a397_e66eee08-1c46-45fa-9204-feaa911b868a.pickle
the arrow button by 'food festival',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/c200352a-28d2-436c-8707-aa695e04a397_c48266f5-4230-4024-9897-3ed2aac9f8a1.jpeg,"[0.0, 0.37916259765625, 0.07250912884715702, 0.0375, 0.025039123630672927]",0.37916259765625,0.072509128847157,0.0375,0.0250391236306729,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/c200352a-28d2-436c-8707-aa695e04a397_c48266f5-4230-4024-9897-3ed2aac9f8a1.pickle
the 'this weekend' option under 'Date',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/c200352a-28d2-436c-8707-aa695e04a397_6500a6e7-5c10-4a53-ab1b-04104e6e9073.jpeg,"[0.0, 0.068359375, 0.08674223755544602, 0.06796875, 0.003285690816494168]",0.068359375,0.086742237555446,0.06796875,0.0032856908164941,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/c200352a-28d2-436c-8707-aa695e04a397_6500a6e7-5c10-4a53-ab1b-04104e6e9073.pickle
the 'Gift cards' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/925a2307-b2b7-4189-bf25-e3f463c24e1c_1e99738e-70e8-4451-bc29-701fd821a32c.jpeg,"[0.0, 0.7085937499999999, 0.010474337872213078, 0.08359375, 0.008379470297770463]",0.7085937499999999,0.010474337872213,0.08359375,0.0083794702977704,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/925a2307-b2b7-4189-bf25-e3f463c24e1c_1e99738e-70e8-4451-bc29-701fd821a32c.pickle
the 'Check Gift Card Balance' option under 'Buy Gift Cards',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/925a2307-b2b7-4189-bf25-e3f463c24e1c_9baa516a-2247-49ee-ab6c-d3c7974fdedc.jpeg,"[0.0, 0.3865234375, 0.09348860432330827, 0.203515625, 0.01277608082706767]",0.3865234375,0.0934886043233082,0.203515625,0.0127760808270676,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/925a2307-b2b7-4189-bf25-e3f463c24e1c_9baa516a-2247-49ee-ab6c-d3c7974fdedc.pickle
the 'Gift Card Number' textfield,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/925a2307-b2b7-4189-bf25-e3f463c24e1c_7ed2646d-050c-42b5-8cc1-de7a7a64ea05.jpeg,"[0.0, 0.259765625, 0.23974203601108035, 0.48046875, 0.027700831024930747]",0.259765625,0.2397420360110803,0.48046875,0.0277008310249307,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/925a2307-b2b7-4189-bf25-e3f463c24e1c_7ed2646d-050c-42b5-8cc1-de7a7a64ea05.pickle
the 'Gift Card Pin' textfield,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/925a2307-b2b7-4189-bf25-e3f463c24e1c_0f61ac6f-1f9d-408d-b9e5-08410adbad15.jpeg,"[0.0, 0.259765625, 0.2812932825484764, 0.48046875, 0.027700831024930747]",0.259765625,0.2812932825484764,0.48046875,0.0277008310249307,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/925a2307-b2b7-4189-bf25-e3f463c24e1c_0f61ac6f-1f9d-408d-b9e5-08410adbad15.pickle
the 'Search' button,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/925a2307-b2b7-4189-bf25-e3f463c24e1c_6808d74b-fbd2-4f6a-9bc4-583b983530eb.jpeg,"[0.0, 0.45570068359375, 0.37094594594594593, 0.0885986328125, 0.03141891891891892]",0.45570068359375,0.3709459459459459,0.0885986328125,0.0314189189189189,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/925a2307-b2b7-4189-bf25-e3f463c24e1c_6808d74b-fbd2-4f6a-9bc4-583b983530eb.pickle
the 'Experience' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/82094208-02a3-46de-a55f-4c48924cb16c_0a8e34c4-4083-4643-bd4b-d0f9b9917a35.jpeg,"[0.0, 0.41445312500000003, 0.02535602639805488, 0.083203125, 0.02153525529697812]",0.414453125,0.0253560263980548,0.083203125,0.0215352552969781,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/82094208-02a3-46de-a55f-4c48924cb16c_0a8e34c4-4083-4643-bd4b-d0f9b9917a35.pickle
the 'Baggage allowance' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/82094208-02a3-46de-a55f-4c48924cb16c_20f69504-5a79-4773-afc0-9431166fb1b5.jpeg,"[0.0, 0.125, 0.06703716568252865, 0.0921875, 0.008336227856894755]",0.125,0.0670371656825286,0.0921875,0.0083362278568947,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/82094208-02a3-46de-a55f-4c48924cb16c_20f69504-5a79-4773-afc0-9431166fb1b5.pickle
the 'Economy Class' header,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/82094208-02a3-46de-a55f-4c48924cb16c_8bb5e81d-5916-47e0-9ef0-d3e3bf745254.jpeg,"[0.0, 0.21875, 0.25145526960784315, 0.09765625, 0.0078125]",0.21875,0.2514552696078431,0.09765625,0.0078125,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/82094208-02a3-46de-a55f-4c48924cb16c_8bb5e81d-5916-47e0-9ef0-d3e3bf745254.pickle
the 'Help' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a3b7ff6e-246b-48f0-901e-64b8d8223ad3_df22a88c-8157-4bdf-9624-a4acc985d12e.jpeg,"[0.0, 0.58984375, 0.016563604240282685, 0.05625, 0.03312720848056537]",0.58984375,0.0165636042402826,0.05625,0.0331272084805653,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a3b7ff6e-246b-48f0-901e-64b8d8223ad3_df22a88c-8157-4bdf-9624-a4acc985d12e.pickle
the 'What do I do if I lost an item on the bus' question,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a3b7ff6e-246b-48f0-901e-64b8d8223ad3_eff4ca38-7ee8-4ddb-aa6f-d497f0048f82.jpeg,"[0.0, 0.5, 0.2723393574297188, 0.890625, 0.01911395582329317]",0.5,0.2723393574297188,0.890625,0.0191139558232931,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a3b7ff6e-246b-48f0-901e-64b8d8223ad3_eff4ca38-7ee8-4ddb-aa6f-d497f0048f82.pickle
the 'Hotels' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_a1460bee-edeb-4e46-9fb3-3e1d853d9754.jpeg,"[0.0, 0.32734375, 0.050101214574898786, 0.046875, 0.009615384615384616]",0.32734375,0.0501012145748987,0.046875,0.0096153846153846,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_a1460bee-edeb-4e46-9fb3-3e1d853d9754.pickle
the 'Find me a hotel' text field,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_a817119c-64db-4999-8b60-60183b577bc8.jpeg,"[0.0, 0.38671875, 0.0871743486973948, 0.653125, 0.011022044088176353]",0.38671875,0.0871743486973948,0.653125,0.0110220440881763,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_a817119c-64db-4999-8b60-60183b577bc8.pickle
the 'Find me a hotel' text field,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_9f428247-d3fa-4c51-ba2f-97fe7b4ef9ad.jpeg,"[0.0, 0.38671875, 0.0871743486973948, 0.653125, 0.011022044088176353]",0.38671875,0.0871743486973948,0.653125,0.0110220440881763,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_9f428247-d3fa-4c51-ba2f-97fe7b4ef9ad.pickle
"the first 'Dublin, Ireland' option under 'Locations'",button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_bac22f5f-addd-4398-b207-167273d42c49.jpeg,"[0.0, 0.08632812499999999, 0.13285946893787576, 0.03046875, 0.009111973947895792]",0.0863281249999999,0.1328594689378757,0.03046875,0.0091119739478957,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_bac22f5f-addd-4398-b207-167273d42c49.pickle
the check in date text field,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_e1a203e0-f68b-4d60-a5c9-0e084900b92d.jpeg,"[0.0, 0.160546875, 0.11823647294589179, 0.20078125, 0.011022044088176353]",0.160546875,0.1182364729458917,0.20078125,0.0110220440881763,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_e1a203e0-f68b-4d60-a5c9-0e084900b92d.pickle
the button for the month of May on the calendar,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_bd70a7d5-694f-4c61-82f2-5f839b5572a3.jpeg,"[0.0, 0.199609375, 0.1459912011523046, 0.05078125, 0.010920278056112225]",0.199609375,0.1459912011523046,0.05078125,0.0109202780561122,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_bd70a7d5-694f-4c61-82f2-5f839b5572a3.pickle
the button corresponding to the 2nd of May,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_e8e50fc6-4e67-42bd-bb28-7e14d124da38.jpeg,"[0.0, 0.109063720703125, 0.1989095378256513, 0.02254638671875, 0.014458604709418838]",0.109063720703125,0.1989095378256513,0.02254638671875,0.0144586047094188,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_e8e50fc6-4e67-42bd-bb28-7e14d124da38.pickle
the button corresponding to the 8th of May,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_f97f738c-ee61-45e8-8514-a60b0ebb15ad.jpeg,"[0.0, 0.08392944335937501, 0.2148711485470942, 0.02254638671875, 0.014458604709418838]",0.083929443359375,0.2148711485470942,0.02254638671875,0.0144586047094188,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_f97f738c-ee61-45e8-8514-a60b0ebb15ad.pickle
the '+' button by 'Adults',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_517c97cb-98ac-4522-9c18-41a5c77040c6.jpeg,"[0.0, 0.71640625, 0.16983185120240482, 0.01875, 0.012024048096192385]",0.71640625,0.1698318512024048,0.01875,0.0120240480961923,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_517c97cb-98ac-4522-9c18-41a5c77040c6.pickle
the 'Done' button in the dropdown,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_48f218c0-fde7-4a90-bbb8-9f7b40343fee.jpeg,"[0.0, 0.7105468749999999, 0.23726358967935873, 0.02890625, 0.008016032064128256]",0.7105468749999999,0.2372635896793587,0.02890625,0.0080160320641282,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_48f218c0-fde7-4a90-bbb8-9f7b40343fee.pickle
the search button,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/333e1892-c879-4ac9-a6a8-fbceda53ae08_353a1939-01df-4349-88f2-9f9bc685b87c.jpeg,"[0.0, 0.8429687499999999, 0.11422845691382766, 0.2203125, 0.026052104208416832]",0.8429687499999999,0.1142284569138276,0.2203125,0.0260521042084168,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/333e1892-c879-4ac9-a6a8-fbceda53ae08_353a1939-01df-4349-88f2-9f9bc685b87c.pickle
the 'explore the world' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a4f3beb3-422a-4049-8d17-44eade56fed1_5c124329-b3c2-4c6b-bc9c-c8e2b4bcfd06.jpeg,"[0.0, 0.210546875, 0.017563451776649745, 0.10234375, 0.004263959390862944]",0.210546875,0.0175634517766497,0.10234375,0.0042639593908629,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a4f3beb3-422a-4049-8d17-44eade56fed1_5c124329-b3c2-4c6b-bc9c-c8e2b4bcfd06.pickle
the 'amsterdam' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a4f3beb3-422a-4049-8d17-44eade56fed1_754901e4-3942-4db4-bece-e243092ae9cd.jpeg,"[0.0, 0.6953125, 0.028426395939086295, 0.065625, 0.0040609137055837565]",0.6953125,0.0284263959390862,0.065625,0.0040609137055837,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a4f3beb3-422a-4049-8d17-44eade56fed1_754901e4-3942-4db4-bece-e243092ae9cd.pickle
the dropdown next to 'sort by featured',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a4f3beb3-422a-4049-8d17-44eade56fed1_fec52a16-1890-4ad5-9282-14b99962504f.jpeg,"[0.0, 0.9758378799688231, 0.03293300806905611, 0.018706157443491817, 0.002251829611559392]",0.9758378799688232,0.0329330080690561,0.0187061574434918,0.0022518296115593,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a4f3beb3-422a-4049-8d17-44eade56fed1_fec52a16-1890-4ad5-9282-14b99962504f.pickle
the 'traveler rating' sorting option,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a4f3beb3-422a-4049-8d17-44eade56fed1_6f6799cc-4663-4900-84a5-2227eb0e927b.jpeg,"[0.0, 0.8624318004676539, 0.03917245261775192, 0.09431021044427124, 0.0021580033777444173]",0.8624318004676539,0.0391724526177519,0.0943102104442712,0.0021580033777444,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a4f3beb3-422a-4049-8d17-44eade56fed1_6f6799cc-4663-4900-84a5-2227eb0e927b.pickle
the heart button on the first entry in the list 'flagship amsterdam open boat canal cruis - local guide...',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/a4f3beb3-422a-4049-8d17-44eade56fed1_99d9029f-f178-462a-a5ad-2bdce271960a.jpeg,"[0.0, 0.46894485580670303, 0.04098514758413236, 0.01558846453624318, 0.0018800526414739613]",0.468944855806703,0.0409851475841323,0.0155884645362431,0.0018800526414739,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/a4f3beb3-422a-4049-8d17-44eade56fed1_99d9029f-f178-462a-a5ad-2bdce271960a.pickle
the 'maps' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/24bbf21c-e433-46d6-8a3b-896b0015c0e5_a8c707e0-cbbe-467d-aa4b-54a131e7046e.jpeg,"[0.0, 0.47238769531249997, 0.008678672163159037, 0.05556640625, 0.017357344326318074]",0.4723876953124999,0.008678672163159,0.05556640625,0.017357344326318,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/24bbf21c-e433-46d6-8a3b-896b0015c0e5_a8c707e0-cbbe-467d-aa4b-54a131e7046e.pickle
the 'neighborhood maps' section under 'other subway maps',button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/24bbf21c-e433-46d6-8a3b-896b0015c0e5_b171b6a2-722f-47c2-9a43-cdb48656259d.jpeg,"[0.0, 0.5607666015625, 0.44994050524774226, 0.121533203125, 0.005857944837686112]",0.5607666015625,0.4499405052477422,0.121533203125,0.0058579448376861,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/24bbf21c-e433-46d6-8a3b-896b0015c0e5_b171b6a2-722f-47c2-9a43-cdb48656259d.pickle
the 'Brooklyn' MTA map,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/24bbf21c-e433-46d6-8a3b-896b0015c0e5_da458d94-cc63-4ae2-9d92-addf6e7a19c4.jpeg,"[0.0, 0.42916259765625003, 0.27523148148148147, 0.067724609375, 0.020370370370370372]",0.42916259765625,0.2752314814814814,0.067724609375,0.0203703703703703,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/24bbf21c-e433-46d6-8a3b-896b0015c0e5_da458d94-cc63-4ae2-9d92-addf6e7a19c4.pickle
the search text box,textfield,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_a2cd8d1a-b4ef-40a4-b8c3-1fd7eaaf5420.jpeg,"[0.0, 0.33812866210937503, 0.0060434573206876105, 0.11219482421875, 0.006224066390041493]",0.338128662109375,0.0060434573206876,0.11219482421875,0.0062240663900414,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_a2cd8d1a-b4ef-40a4-b8c3-1fd7eaaf5420.pickle
the search button,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_f20aa98d-cc35-40a0-bdbd-42da94a30d06.jpeg,"[0.0, 0.52734375, 0.0060434573206876105, 0.05, 0.006224066390041493]",0.52734375,0.0060434573206876,0.05,0.0062240663900414,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_f20aa98d-cc35-40a0-bdbd-42da94a30d06.pickle
the 'featured items' drop down,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_5b732cd3-b5d6-40a7-a740-9063015a9a69.jpeg,"[0.0, 0.34550781249999996, 0.050647074746117085, 0.108203125, 0.0023894862604540022]",0.3455078124999999,0.050647074746117,0.108203125,0.002389486260454,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_5b732cd3-b5d6-40a7-a740-9063015a9a69.pickle
the 'add to cart' button for the KingSpec Internal Solid State Drive,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_7d823b7b-2713-44df-ab95-4c34bea75072.jpeg,"[0.0, 0.53919677734375, 0.09734387084300078, 0.08154296875, 0.002010827532869296]",0.53919677734375,0.0973438708430007,0.08154296875,0.0020108275328692,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/75294fc6-f203-4fd3-bc1a-44bd83d1c69d_7d823b7b-2713-44df-ab95-4c34bea75072.pickle
the 'geeklists' section,button,/media/nvme_data/eclair_agents/Mind2Web/new_dataset/screenshots/d2171cc3-2514-4271-b255-d026f0563b2d_fa5c860d-a96f-4dc9-896d-9d3839fc1516.jpeg,"[0.0, 0.283441162109375, 0.007129147244310392, 0.07408447265625, 0.008225939128050452]",0.283441162109375,0.0071291472443103,0.07408447265625,0.0082259391280504,~/eclair-agents/eclair/webpage_segmentation/datasets/bounding-box-labels/Mind2Web/bbs/d2171cc3-2514-4271-b255-d026f0563b2d_fa5c860d-a96f-4dc9-896d-9d3839fc1516.pickle
